seed,result,time (seconds)
1,unsolvable,7.008
2,solved,32.39
3,solved,63.34
4,solved,133.027
5,solved,27.142
6,solved,38.843
7,solved,59.14
8,solved,26.464
9,solved,33.388
10,solved,26.331
11,solved,84.048
12,solved,26.084
13,solved,49.937
14,solved,29.816
15,unsolvable,5.191
16,solved,30.795
17,solved,52.965
18,solved,27.06
19,unsolvable,45.395
20,solved,36.955
21,unsolvable,37.79
22,unsolvable,7.004
23,solved,42.388
24,solved,21.67
25,solved,43.624
26,solved,53.689
27,solved,37.847
28,solved,39.103
29,unsolvable,29.587
30,solved,26.828
31,unsolvable,18.358
32,solved,48.205
33,unsolvable,5.512
34,solved,33.51
35,solved,51.718
36,solved,23.049
37,solved,83.216
38,solved,41.499
39,unsolvable,9.003
40,unsolvable,5.522
41,solved,27.788
42,solved,31.004
43,unsolvable,15.595
44,solved,33.159
45,unsolvable,15.484
46,solved,47.224
47,solved,52.957
48,solved,46.414
49,solved,44.476
50,solved,20.06
51,unsolvable,42.883
52,solved,27.604
53,solved,25.96
54,solved,39.756
55,solved,27.657
56,solved,43.87
57,solved,33.029
58,solved,30.969
59,unsolvable,17.468
60,solved,42.022
61,solved,51.481
62,solved,43.93
63,solved,44.997
64,solved,87.415
65,solved,32.396
66,unsolvable,16.459
67,solved,60.88
68,solved,37.669
69,solved,30.946
70,unsolvable,44.127
71,solved,74.459
72,solved,42.186
73,unsolvable,40.169
74,unsolvable,57.402
75,solved,52.671
76,solved,158.235
77,solved,31.817
78,unsolvable,6.206
79,unsolvable,47.358
80,solved,54.842
81,unsolvable,45.885
82,unsolvable,16.245
83,solved,43.306
84,solved,35.103
85,solved,48.741
86,solved,28.946
87,solved,30.894
88,unsolvable,10.07
89,solved,33.173
90,unsolvable,22.761
91,solved,77.653
92,solved,43.117
93,unsolvable,19.595
94,solved,34.383
95,solved,58.547
96,solved,33.358
97,solved,38.322
98,solved,44.255
99,solved,46.318
100,solved,40.25
101,unsolvable,22.655
102,unsolvable,17.725
103,solved,35.073
104,solved,61.345
105,unsolvable,42.963
106,unsolvable,24.457
107,unsolvable,28.919
108,unsolvable,141.932
109,solved,40.107
110,solved,45.405
111,solved,33.525
112,solved,33.655
113,solved,35.651
114,solved,27.635
115,solved,31.266
116,unsolvable,41.129
117,solved,56.081
118,solved,25.699
119,solved,24.716
120,solved,39.08
121,unsolvable,34.88
