seed,result,time (seconds)
1,unsolvable,0.219
2,solved,0.008
3,solved,1.493
4,solved,0.006
5,solved,0.025
6,solved,0.039
7,solved,0.149
8,solved,53.351
9,solved,0.002
10,solved,0.149
11,solved,0
12,solved,0
13,solved,0
14,solved,0.03
15,unknown,3600.002
16,solved,3.356
17,solved,0.003
18,solved,0
19,unsolvable,0.001
20,solved,0
21,unsolvable,0
22,unknown,3600.009
23,solved,0
24,solved,0
25,solved,0
26,solved,0
27,solved,0.781
28,solved,0.036
29,unsolvable,0
30,solved,0
31,unsolvable,101.579
32,solved,0.009
33,unknown,3600
34,solved,0.919
35,solved,0.01
36,solved,0
37,solved,0.615
38,solved,0
39,unknown,3600.008
40,unsolvable,0
41,solved,0
42,solved,0
43,unsolvable,0.368
44,solved,0
45,unsolvable,0.006
46,solved,0
47,solved,0
48,solved,15.633
49,solved,0.001
50,solved,0
51,unsolvable,0
52,solved,0.001
53,solved,16.069
54,solved,3.654
55,solved,0.065
56,solved,14.956
57,solved,0
58,solved,0.001
59,unsolvable,0
60,solved,0
61,solved,0
62,solved,0.823
63,solved,0
64,solved,0.005
65,solved,0
66,unsolvable,6.666
67,solved,0.001
68,solved,0
69,solved,0
70,unsolvable,0
71,solved,0.008
72,solved,2.247
73,unsolvable,0
74,unsolvable,1.453
75,solved,0
76,solved,0.494
77,solved,0
78,unsolvable,4.245
79,unsolvable,0.514
80,solved,0.001
81,unsolvable,0.12
82,solved,0.657
83,solved,0.001
84,solved,0
85,solved,0
86,solved,0
87,solved,0.068
88,unsolvable,0.046
89,solved,0
90,unknown,3600.001
91,solved,0.011
92,solved,0.021
93,unsolvable,0.002
94,solved,0
95,solved,0
96,solved,0
97,solved,0.03
98,solved,0.003
99,solved,0
100,solved,0
101,unsolvable,0.14
102,unsolvable,0.009
103,solved,0
104,solved,0.036
105,unsolvable,0
106,unsolvable,0.001
107,unsolvable,0
108,solved,0.142
109,solved,0
110,solved,79.213
111,solved,0.013
112,solved,0.011
113,solved,0.007
114,solved,0.007
115,solved,0
116,unsolvable,0.066
117,solved,3.284
118,solved,0
119,solved,0.006
120,solved,0
121,unsolvable,0.02
122,solved,0
123,solved,0.001
124,unsolvable,0
125,unknown,3600
126,solved,1.06
127,solved,0.001
128,solved,0.002
129,solved,0.036
130,solved,0
131,unsolvable,0.211
132,solved,0.044
133,solved,0.001
134,solved,0.008
135,solved,57.879
136,solved,0.004
137,solved,0.01
138,solved,0.001
139,unsolvable,0.01
140,solved,0.002
141,solved,0.001
142,unsolvable,0
143,unsolvable,0.058
144,solved,0.001
145,unsolvable,0
146,solved,0.001
147,solved,0
148,unsolvable,2.728
149,solved,0.002
150,solved,0.027
151,solved,0
152,solved,0.486
153,unsolvable,0.003
154,solved,0
155,unknown,3600
156,unsolvable,0.136
157,solved,0.007
158,solved,0
159,solved,0
160,solved,1.964
161,solved,0
162,solved,0
163,solved,9.966
