Seed,result,time (seconds)
1,unsolvable,19.60333333
2,solved,107.6893333
3,solved,157.9633333
4,solved,909.059
5,solved,50.26666667
6,solved,68.84066667
7,solved,62.74433333
8,solved,75.98133333
9,solved,92.05533333
10,solved,90.35233333
11,solved,169.999
12,solved,57.252
13,solved,135.8503333
14,solved,63.18933333
15,unsolvable,5.196333333
16,solved,72.434
17,solved,162.69
18,solved,79.477
19,unsolvable,99.78566667
20,solved,90.06133333
21,unsolvable,40.91533333
22,unsolvable,18.284
23,solved,65.53333333
24,solved,100.0046667
25,solved,62.771
26,solved,89.93166667
27,solved,137.6226667
28,solved,116.5176667
29,unsolvable,62.981
30,solved,45.85566667
31,unsolvable,34.69866667
32,solved,156.7103333
33,unsolvable,13.48433333
34,solved,56.28833333
35,solved,71.385
36,solved,49.94666667
37,solved,117.7593333
38,solved,77.07466667
39,unsolvable,7.317666667
40,unsolvable,6.275333333
41,solved,80.55466667
42,solved,74.93633333
43,unsolvable,22.95466667
44,solved,73.68
45,unsolvable,64.19066667
46,solved,111.7416667
47,solved,77.598
48,solved,116.306
49,solved,70.086
50,solved,46.773
51,unsolvable,62.093
52,solved,62.63366667
53,solved,42.20466667
54,solved,73.14066667
55,solved,47.13433333
56,solved,88.66533333
57,solved,73.394
58,solved,105.6376667
59,unsolvable,49.58333333
60,solved,98.34366667
61,solved,63.54566667
62,solved,68.99133333
63,solved,67.72133333
64,solved,152.9666667
65,solved,83.22266667
66,unsolvable,27.95166667
67,solved,95.012
68,solved,61.592
69,solved,47.92466667
70,unsolvable,47.67933333
71,solved,192.3946667
72,solved,81.994
73,unsolvable,58.82
74,unsolvable,164.602
75,solved,151.0056667
76,solved,346.5393333
77,solved,78.46233333
78,unsolvable,18.96
79,unsolvable,133.201
80,solved,120.3823333
81,unsolvable,48.29666667
82,unsolvable,30.67933333
83,solved,83.96333333
84,solved,107.0906667
85,solved,97.094
86,solved,40.531
87,solved,58.36
88,unsolvable,11.224
89,solved,37.09866667
90,unsolvable,52.38466667
91,solved,112.0883333
92,solved,119.3456667
93,unsolvable,42.35133333
94,solved,133.2946667
95,solved,96.83633333
96,solved,64.026
97,solved,84.667
98,solved,173.641
99,solved,85.89366667
100,solved,85.383
