timeout,schedule
1,solvitaire(1.0)
2,solvitaire(1.3) -> relaxed(0.7)
3,solvitaire(2.1) -> relaxed(0.9)
4,solvitaire(3.0) -> relaxed(0.9) -> without-worrying-back(0.1)
5,solvitaire(4.0) -> relaxed(1.0)
6,solvitaire(5.1) -> relaxed(0.9)
7,solvitaire(6.1) -> relaxed(0.9)
8,solvitaire(6.8) -> relaxed(1.2)
9,solvitaire(8.0) -> relaxed(0.9) -> strict(0.1)
10,solvitaire(8.3) -> relaxed(1.6) -> strict(0.1)
12,solvitaire(11.0) -> relaxed(1.0)
16,solvitaire(11.0) -> relaxed(5.0)
20,solvitaire(17.0) -> relaxed(3.0)
24,solvitaire(11.0) -> relaxed(12.0) -> without-worrying-back(1.0)
28,solvitaire(11.0) -> relaxed(16.0) -> without-worrying-back(1.0)
30,solvitaire(11.0) -> relaxed(18.0) -> without-worrying-back(1.0)
50,solvitaire(19.0) -> relaxed(15.0) -> without-worrying-back(16.0)
70,solvitaire(11.0) -> relaxed(29.0) -> without-worrying-back(30.0)
90,solvitaire(9.6) -> relaxed(80.0) -> without-worrying-back(0.4)
110,solvitaire(8.3) -> relaxed(100.0) -> without-worrying-back(1.7)
130,solvitaire(8.0) -> relaxed(120.0) -> without-worrying-back(2.0)
150,solvitaire(11.0) -> relaxed(11.0) -> without-worrying-back(128.0)
170,solvitaire(11.0) -> relaxed(150.0) -> without-worrying-back(9.0)
180,solvitaire(11.0) -> relaxed(12.0) -> without-worrying-back(157.0)
360,solvitaire(11.0) -> relaxed(200.0) -> without-worrying-back(149.0)
540,solvitaire(11.0) -> relaxed(18.0) -> without-worrying-back(510.0) -> strict(1.0)
720,solvitaire(11.0) -> relaxed(12.0) -> without-worrying-back(697.0)
900,solvitaire(11.0) -> relaxed(42.0) -> without-worrying-back(847.0)
1080,solvitaire(11.0) -> relaxed(21.0) -> without-worrying-back(160.0) -> strict(888.0)
1260,solvitaire(11.0) -> relaxed(58.0) -> without-worrying-back(1191.0)
1440,solvitaire(11.0) -> relaxed(1080.0) -> without-worrying-back(349.0)
1620,solvitaire(11.0) -> relaxed(260.0) -> without-worrying-back(1349.0)
1800,solvitaire(11.0) -> relaxed(18.0) -> without-worrying-back(1770.0) -> strict(1.0)
1980,solvitaire(11.0) -> relaxed(29.0) -> without-worrying-back(1940.0)
2160,solvitaire(11.0) -> relaxed(420.0) -> without-worrying-back(1729.0)
2340,solvitaire(11.0) -> relaxed(11.0) -> without-worrying-back(2318.0)
2520,solvitaire(11.0) -> relaxed(11.0) -> without-worrying-back(2498.0)
2700,solvitaire(11.0) -> relaxed(12.0) -> without-worrying-back(2677.0)
2880,solvitaire(11.0) -> relaxed(11.0) -> without-worrying-back(2858.0)
3060,solvitaire(11.0) -> relaxed(11.0) -> without-worrying-back(3038.0)
3240,solvitaire(11.0) -> relaxed(26.0) -> without-worrying-back(3203.0)
3420,solvitaire(11.0) -> relaxed(11.0) -> without-worrying-back(3398.0)
3600,solvitaire(11.0) -> relaxed(19.0) -> without-worrying-back(3570.0)
